first_word,first_code_emoji,first_code,max_num_second_word_in_strategy,assigned_second_guess,is_bin_solved,n_answers_in_bin,bin_probability,assigned_score_entropy,selected_second_guess_list
crane,⬛⬛⬛⬛⬛,00000,5,toils,False,263,0.1136,1.6998,"spilt,fudgy,south,toils,pilot"
crane,⬛⬛🟨⬛⬛,00100,5,toils,False,134,0.0579,1.5467,"spilt,fudgy,south,toils,pilot"
crane,⬛⬛⬛⬛🟨,00001,5,spilt,False,127,0.0549,1.5970,"spilt,fudgy,south,toils,pilot"
crane,⬛🟨⬛⬛🟨,01001,5,toils,False,122,0.0527,1.2055,"spilt,fudgy,south,toils,pilot"
crane,⬛⬛⬛⬛🟩,00002,5,toils,False,102,0.0441,1.5740,"spilt,fudgy,south,toils,pilot"
crane,⬛🟨⬛⬛⬛,01000,5,south,False,90,0.0389,1.5698,"spilt,fudgy,south,toils,pilot"
crane,⬛🟨🟨⬛⬛,01100,5,pilot,False,65,0.0281,1.2731,"spilt,fudgy,south,toils,pilot"
crane,⬛⬛⬛🟨🟨,00011,5,toils,False,58,0.0251,1.2157,"spilt,fudgy,south,toils,pilot"
crane,⬛⬛⬛🟩⬛,00020,5,south,False,58,0.0251,1.3039,"spilt,fudgy,south,toils,pilot"
crane,⬛⬛⬛🟨⬛,00010,5,pilot,False,55,0.0238,1.4080,"spilt,fudgy,south,toils,pilot"
crane,🟨⬛⬛⬛⬛,10000,5,toils,False,55,0.0238,1.4414,"spilt,fudgy,south,toils,pilot"
crane,⬛🟩⬛⬛⬛,02000,5,pilot,False,51,0.0220,1.3917,"spilt,fudgy,south,toils,pilot"
crane,⬛🟨🟨⬛🟨,01101,5,spilt,False,50,0.0216,0.9152,"spilt,fudgy,south,toils,pilot"
crane,⬛⬛🟨⬛🟩,00102,5,spilt,False,49,0.0212,1.2014,"spilt,fudgy,south,toils,pilot"
crane,⬛⬛🟩⬛⬛,00200,5,spilt,False,49,0.0212,1.4090,"spilt,fudgy,south,toils,pilot"
crane,⬛⬛🟨🟨⬛,00110,5,toils,False,47,0.0203,1.3405,"spilt,fudgy,south,toils,pilot"
crane,⬛⬛🟨⬛🟨,00101,5,spilt,False,46,0.0199,1.1651,"spilt,fudgy,south,toils,pilot"
crane,⬛⬛🟩⬛🟩,00202,5,spilt,False,44,0.0190,1.1397,"spilt,fudgy,south,toils,pilot"
crane,⬛🟨⬛⬛🟩,01002,5,south,False,40,0.0173,1.2652,"spilt,fudgy,south,toils,pilot"
crane,⬛🟨⬛🟨🟨,01011,5,toils,False,27,0.0117,0.9656,"spilt,fudgy,south,toils,pilot"
crane,🟨⬛🟨⬛⬛,10100,5,toils,False,27,0.0117,1.1078,"spilt,fudgy,south,toils,pilot"
crane,⬛🟩⬛⬛🟩,02002,5,pilot,False,26,0.0112,0.9996,"spilt,fudgy,south,toils,pilot"
crane,🟩⬛⬛⬛⬛,20000,5,toils,False,25,0.0108,1.0817,"spilt,fudgy,south,toils,pilot"
crane,⬛🟨🟩⬛⬛,01200,5,south,False,24,0.0104,0.9994,"spilt,fudgy,south,toils,pilot"
crane,⬛🟩⬛⬛🟨,02001,5,fudgy,False,22,0.0095,0.9830,"spilt,fudgy,south,toils,pilot"
crane,⬛🟩🟩⬛⬛,02200,5,spilt,False,22,0.0095,1.0858,"spilt,fudgy,south,toils,pilot"
crane,⬛⬛⬛🟨🟩,00012,5,toils,False,21,0.0091,1.0891,"spilt,fudgy,south,toils,pilot"
crane,⬛⬛🟨🟨🟨,00111,5,spilt,False,21,0.0091,0.7775,"spilt,fudgy,south,toils,pilot"
crane,⬛⬛🟨🟩⬛,00120,5,toils,False,20,0.0086,0.9343,"spilt,fudgy,south,toils,pilot"
crane,🟨⬛⬛⬛🟨,10001,5,pilot,False,20,0.0086,1.1693,"spilt,fudgy,south,toils,pilot"
crane,⬛⬛🟩⬛🟨,00201,5,toils,False,18,0.0078,0.9498,"spilt,fudgy,south,toils,pilot"
crane,🟨⬛⬛🟨⬛,10010,5,pilot,False,18,0.0078,1.0211,"spilt,fudgy,south,toils,pilot"
crane,⬛🟩⬛🟩⬛,02020,5,fudgy,False,17,0.0073,0.9471,"spilt,fudgy,south,toils,pilot"
crane,⬛⬛🟩🟩⬛,00220,5,spilt,False,16,0.0069,0.9783,"spilt,fudgy,south,toils,pilot"
crane,⬛🟨⬛🟨⬛,01010,5,south,False,13,0.0056,1.0038,"spilt,fudgy,south,toils,pilot"
crane,⬛🟩🟩⬛🟩,02202,5,fudgy,False,13,0.0056,0.6333,"spilt,fudgy,south,toils,pilot"
crane,🟨⬛🟩⬛⬛,10200,5,spilt,False,13,0.0056,0.8649,"spilt,fudgy,south,toils,pilot"
crane,🟩⬛🟨⬛⬛,20100,5,pilot,False,13,0.0056,0.9287,"spilt,fudgy,south,toils,pilot"
crane,🟩⬛🟩⬛⬛,20200,5,toils,False,13,0.0056,0.9750,"spilt,fudgy,south,toils,pilot"
crane,🟩🟩⬛⬛⬛,22000,5,south,False,13,0.0056,0.9112,"spilt,fudgy,south,toils,pilot"
crane,⬛⬛⬛🟩🟩,00022,5,spilt,False,12,0.0052,0.9287,"spilt,fudgy,south,toils,pilot"
crane,⬛🟩🟨⬛⬛,02100,5,pilot,False,12,0.0052,0.7782,"spilt,fudgy,south,toils,pilot"
crane,🟨⬛⬛🟨🟩,10012,5,south,False,11,0.0048,0.6142,"spilt,fudgy,south,toils,pilot"
crane,🟨🟨⬛⬛⬛,11000,5,south,False,11,0.0048,0.9867,"spilt,fudgy,south,toils,pilot"
crane,🟩⬛⬛⬛🟨,20001,5,toils,False,11,0.0048,0.9319,"spilt,fudgy,south,toils,pilot"
crane,🟩⬛⬛⬛🟩,20002,5,toils,False,11,0.0048,0.9867,"spilt,fudgy,south,toils,pilot"
crane,⬛⬛⬛🟩🟨,00021,5,toils,False,10,0.0043,0.8569,"spilt,fudgy,south,toils,pilot"
crane,⬛🟨🟨🟨⬛,01110,5,fudgy,False,10,0.0043,0.7592,"spilt,fudgy,south,toils,pilot"
crane,🟨🟨⬛⬛🟨,11001,5,south,False,10,0.0043,0.7967,"spilt,fudgy,south,toils,pilot"
crane,🟩🟩⬛⬛🟨,22001,5,toils,False,10,0.0043,0.7967,"spilt,fudgy,south,toils,pilot"
crane,⬛🟨🟩⬛🟨,01201,5,toils,False,9,0.0039,0.5659,"spilt,fudgy,south,toils,pilot"
crane,⬛🟩🟨⬛🟨,02101,5,fudgy,False,9,0.0039,0.5276,"spilt,fudgy,south,toils,pilot"
crane,🟨⬛⬛⬛🟩,10002,5,toils,False,9,0.0039,0.8873,"spilt,fudgy,south,toils,pilot"
crane,🟩🟨⬛⬛⬛,21000,5,toils,False,9,0.0039,0.8205,"spilt,fudgy,south,toils,pilot"
crane,⬛⬛🟩🟨⬛,00210,5,spilt,False,8,0.0035,0.8278,"spilt,fudgy,south,toils,pilot"
crane,⬛🟨🟨⬛🟩,01102,5,fudgy,False,8,0.0035,0.7526,"spilt,fudgy,south,toils,pilot"
crane,🟩⬛⬛🟨⬛,20010,5,pilot,False,8,0.0035,0.7526,"spilt,fudgy,south,toils,pilot"
crane,🟩🟨🟨⬛⬛,21100,5,toils,False,8,0.0035,0.8278,"spilt,fudgy,south,toils,pilot"
crane,⬛🟨🟩⬛🟩,01202,5,spilt,False,7,0.0030,0.6406,"spilt,fudgy,south,toils,pilot"
crane,⬛🟩🟩🟨⬛,02210,5,spilt,False,7,0.0030,0.5546,"spilt,fudgy,south,toils,pilot"
crane,🟨🟨🟨⬛⬛,11100,5,pilot,False,7,0.0030,0.7591,"spilt,fudgy,south,toils,pilot"
crane,🟩⬛🟨⬛🟨,20101,5,pilot,False,7,0.0030,0.7591,"spilt,fudgy,south,toils,pilot"
crane,🟩🟨⬛⬛🟨,21001,5,toils,False,7,0.0030,0.5546,"spilt,fudgy,south,toils,pilot"
crane,🟩🟩🟩⬛⬛,22200,5,spilt,False,7,0.0030,0.6731,"spilt,fudgy,south,toils,pilot"
crane,⬛⬛🟨🟨🟩,00112,5,toils,False,6,0.0026,0.5775,"spilt,fudgy,south,toils,pilot"
crane,⬛🟩🟩🟩⬛,02220,5,fudgy,False,6,0.0026,0.6778,"spilt,fudgy,south,toils,pilot"
crane,🟨⬛🟨⬛🟨,10101,5,toils,False,6,0.0026,0.5775,"spilt,fudgy,south,toils,pilot"
crane,⬛🟨⬛🟨🟩,01012,5,toils,False,5,0.0022,0.5786,"spilt,fudgy,south,toils,pilot"
crane,⬛🟨🟨🟨🟨,01111,5,toils,False,5,0.0022,0.4127,"spilt,fudgy,south,toils,pilot"
crane,⬛🟩⬛🟨⬛,02010,5,fudgy,False,5,0.0022,0.5786,"spilt,fudgy,south,toils,pilot"
crane,⬛🟩⬛🟩🟩,02022,5,south,False,5,0.0022,0.5786,"spilt,fudgy,south,toils,pilot"
crane,🟨⬛🟨🟨⬛,10110,5,pilot,False,5,0.0022,0.6990,"spilt,fudgy,south,toils,pilot"
crane,🟨⬛🟩⬛🟨,10201,5,spilt,False,5,0.0022,0.6990,"spilt,fudgy,south,toils,pilot"
crane,🟨🟩⬛⬛⬛,12000,5,spilt,False,5,0.0022,0.6990,"spilt,fudgy,south,toils,pilot"
crane,🟩⬛⬛🟩⬛,20020,5,toils,False,5,0.0022,0.5786,"spilt,fudgy,south,toils,pilot"
crane,⬛🟨⬛🟩⬛,01020,5,south,False,4,0.0017,0.6021,"spilt,fudgy,south,toils,pilot"
crane,⬛🟩🟨🟨⬛,02110,5,toils,False,4,0.0017,0.4515,"spilt,fudgy,south,toils,pilot"
crane,🟨⬛🟩⬛🟩,10202,5,toils,False,4,0.0017,0.6021,"spilt,fudgy,south,toils,pilot"
crane,🟩⬛🟨⬛🟩,20102,5,toils,False,4,0.0017,0.6021,"spilt,fudgy,south,toils,pilot"
crane,🟩⬛🟨🟨⬛,20110,5,toils,False,4,0.0017,0.6021,"spilt,fudgy,south,toils,pilot"
crane,🟩🟨🟨⬛🟨,21101,5,spilt,False,4,0.0017,0.6021,"spilt,fudgy,south,toils,pilot"
crane,🟩🟨🟩⬛⬛,21200,5,toils,False,4,0.0017,0.4515,"spilt,fudgy,south,toils,pilot"
crane,🟩🟩⬛⬛🟩,22002,5,spilt,False,4,0.0017,0.4515,"spilt,fudgy,south,toils,pilot"
crane,⬛⬛🟨🟩🟨,00121,5,south,False,3,0.0013,0.4771,"spilt,fudgy,south,toils,pilot"
crane,⬛🟩🟨⬛🟩,02102,5,toils,False,3,0.0013,0.4771,"spilt,fudgy,south,toils,pilot"
crane,🟨🟨⬛⬛🟩,11002,5,toils,False,3,0.0013,0.4771,"spilt,fudgy,south,toils,pilot"
crane,🟨🟨🟩⬛⬛,11200,5,fudgy,False,3,0.0013,0.4771,"spilt,fudgy,south,toils,pilot"
crane,🟨🟩⬛⬛🟩,12002,5,toils,False,3,0.0013,0.4771,"spilt,fudgy,south,toils,pilot"
crane,🟨🟩🟩⬛⬛,12200,5,spilt,False,3,0.0013,0.4771,"spilt,fudgy,south,toils,pilot"
crane,🟨🟩🟩⬛🟩,12202,5,toils,False,3,0.0013,0.2764,"spilt,fudgy,south,toils,pilot"
crane,🟩⬛🟩⬛🟩,20202,5,south,False,3,0.0013,0.4771,"spilt,fudgy,south,toils,pilot"
crane,🟩⬛🟩🟩⬛,20220,5,toils,False,3,0.0013,0.2764,"spilt,fudgy,south,toils,pilot"
